"ภาคเรียน","สัปดาห์ที่","ช่วงวันที่","กิจกรรมวันจันทร์","กิจกรรมวันอังคาร","กิจกรรมวันพุธ","กิจกรรมวันพฤหัสบดี","กิจกรรมวันศุกร์","จำนวนรูปภาพประกอบ","รายชื่อรูปภาพประกอบ"
"ภาคเรียนที่ 1","สัปดาห์ที่ 11","สัปดาห์ที่ 11","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-11/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 12","สัปดาห์ที่ 12","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","2","/uploads/logs/term-1/week-12/1.jpg | /uploads/logs/term-1/week-12/2.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 13","สัปดาห์ที่ 13","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-13/1.png"
"ภาคเรียนที่ 1","สัปดาห์ที่ 14","สัปดาห์ที่ 14","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","3","/uploads/logs/term-1/week-14/1.jpg | /uploads/logs/term-1/week-14/2.jpg | /uploads/logs/term-1/week-14/3.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 15","สัปดาห์ที่ 15","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","2","/uploads/logs/term-1/week-15/1.jpg | /uploads/logs/term-1/week-15/2.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 16","สัปดาห์ที่ 16","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-16/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 17","สัปดาห์ที่ 17","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","3","/uploads/logs/term-1/week-17/1.jpg | /uploads/logs/term-1/week-17/2.jpg | /uploads/logs/term-1/week-17/3.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 18","สัปดาห์ที่ 18","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","3","/uploads/logs/term-1/week-18/1.jpg | /uploads/logs/term-1/week-18/2.jpg | /uploads/logs/term-1/week-18/3.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 19","สัปดาห์ที่ 19","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","5","/uploads/logs/term-1/week-19/1.jpg | /uploads/logs/term-1/week-19/2.jpg | /uploads/logs/term-1/week-19/3.jpg | /uploads/logs/term-1/week-19/4.jpg | /uploads/logs/term-1/week-19/5.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 20","สัปดาห์ที่ 20","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","0",""
